,Time,Elapsed Time,Mass Flow,MFM Temperature,Inlet Temperature,Midpoint Temperature,Outlet Temperature,Heater Temperature,Supply Pressure,Inlet Pressure,Midpoint Pressure,Outlet Pressure,Valve Position,Heater Power,Heater Current
107,1644866417.5725167,18.114319562911987,101.72,23.64,22.25,22.25,29.75,82.75,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.13
108,1644866417.7413406,18.217116117477417,102.22,23.52,22.0,22.5,29.5,83.75,-44.3847656,6.3476562,5.7617187,5.859375,90.0,100.0,-0.08
109,1644866417.9232461,18.449423789978027,102.05,23.63,22.0,22.5,29.25,83.0,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.05
110,1644866418.092232,18.549731969833374,101.81,23.63,22.75,22.5,29.75,84.25,-44.140625,6.3476562,5.6640625,5.7617187,90.0,100.0,5.05
111,1644866418.2572484,18.76781940460205,102.43,23.58,22.5,23.5,28.75,82.5,-44.140625,6.3476562,5.6640625,5.7617187,90.0,100.0,5.19
112,1644866418.4244754,18.98190474510193,100.7,23.64,22.5,22.75,28.75,82.5,-44.140625,6.3476562,5.6640625,5.7617187,90.0,100.0,3.94
113,1644866418.5936618,19.08216643333435,101.4,23.61,22.25,23.0,28.5,82.5,-44.3847656,6.3476562,5.6640625,5.7617187,90.0,100.0,0.96
114,1644866418.7591648,19.301220178604126,102.02,23.63,22.0,22.5,28.25,83.0,-44.140625,6.3476562,5.7617187,5.859375,90.0,100.0,-1.84
115,1644866418.9254375,19.413833141326904,101.49,23.59,22.75,22.5,28.75,83.0,-44.140625,6.3476562,5.7617187,5.859375,90.0,100.0,-5.11
116,1644866419.0944316,19.622679948806763,102.19,23.57,22.0,22.5,29.25,82.75,-44.140625,6.4453125,5.7617187,5.859375,90.0,100.0,-3.96
117,1644866419.2616997,19.729982614517212,101.01,23.55,22.75,22.5,30.75,82.75,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.61
118,1644866419.4422977,19.95285129547119,101.34,23.63,22.25,23.0,29.0,83.25,-44.140625,6.3476562,5.6640625,5.7617187,90.0,100.0,3.75
119,1644866419.5960517,20.153481006622314,102.25,23.67,22.5,22.5,28.5,83.0,-44.140625,6.3476562,5.6640625,5.7617187,90.0,100.0,5.27
120,1644866419.7809308,20.253791093826294,101.72,23.57,22.75,22.75,28.75,83.0,-44.3847656,6.3476562,5.6640625,5.7617187,90.0,100.0,5.0
121,1644866419.9434192,20.469600439071655,101.2,23.59,22.75,22.5,29.0,83.25,-44.3847656,6.3476562,5.6640625,5.7617187,90.0,100.0,3.11
122,1644866420.1123579,20.56985878944397,102.8,23.59,22.25,22.5,29.5,83.5,-44.140625,6.3476562,5.7617187,5.7617187,90.0,100.0,0.29
123,1644866420.28145,20.78899598121643,101.63,23.59,21.75,22.75,28.75,83.75,-44.140625,6.3476562,5.7617187,5.859375,90.0,100.0,-2.82
124,1644866420.4485815,21.00601077079773,102.31,23.59,22.75,22.5,29.75,83.0,-44.140625,6.3476562,6.0546875,5.859375,90.0,100.0,-5.27
125,1644866420.6129355,21.120975971221924,101.82,23.62,22.75,22.5,29.0,83.0,-44.140625,6.4453125,5.7617187,5.859375,90.0,100.0,-3.22
126,1644866420.7818475,21.336745023727417,101.74,23.63,22.75,23.75,29.25,83.25,-44.3847656,6.3476562,5.7617187,5.859375,90.0,100.0,1.7
127,1644866420.9487004,21.45516324043274,102.06,23.58,22.75,22.5,29.5,83.25,-44.140625,6.3476562,5.7617187,5.7617187,90.0,100.0,4.23
128,1644866421.1133337,21.57063579559326,102.56,23.63,23.0,22.5,29.0,83.0,-44.3847656,6.3476562,5.6640625,5.859375,90.0,100.0,-0.08
129,1644866421.2825797,21.804511308670044,101.36,23.68,22.5,22.75,30.5,83.0,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.03
130,1644866421.4607267,22.018156051635742,102.17,23.58,22.75,22.25,29.5,83.0,-44.3847656,6.3476562,5.7617187,5.7617187,90.0,100.0,0.11
131,1644866421.629786,22.11841320991516,101.06,23.57,22.5,22.5,30.75,82.75,-44.140625,6.3476562,5.9570312,5.859375,90.0,100.0,-0.03
132,1644866421.7987125,22.356141805648804,101.58,23.64,22.5,22.0,28.5,83.0,-44.140625,6.3476562,5.5664062,5.859375,90.0,100.0,0.11
133,1644866421.965183,22.456405639648438,102.45,23.57,22.75,22.5,29.5,83.0,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,-0.03
134,1644866422.1305068,22.578192710876465,101.41,23.59,22.75,23.0,29.75,83.25,-44.3847656,6.3476562,5.7617187,5.859375,90.0,100.0,0.13
135,1644866422.3153565,22.791648864746094,101.78,23.6,22.5,22.25,31.0,83.0,-44.3847656,6.3476562,5.6640625,5.859375,90.0,100.0,0.11
136,1644866422.4662125,23.02364182472229,101.7,23.57,22.25,23.0,29.75,83.0,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.03
137,1644866422.631376,23.138916492462158,101.89,23.62,22.75,22.75,29.5,82.75,-44.140625,6.3476562,5.6640625,5.6640625,90.0,100.0,0.0
138,1644866422.8002975,23.25782012939453,101.78,23.57,22.5,23.0,30.25,83.0,-44.140625,6.3476562,5.7617187,5.859375,90.0,100.0,-0.03
139,1644866422.9665422,23.477102994918823,102.16,23.55,22.5,22.25,31.25,82.25,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.03
140,1644866423.1475868,23.705016136169434,101.92,23.59,22.75,22.25,31.5,83.0,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,0.08
141,1644866423.3306994,23.8077290058136,102.34,23.63,22.75,22.5,31.5,82.5,-44.140625,6.3476562,5.6640625,5.859375,90.0,100.0,-0.03
